Latitude,Longitude
-28.480048,28.796623
-28.479998,28.794808
-28.477252,28.77265
-28.476993,28.771705
-28.476561,28.770669
-28.473349,28.765484
-28.472446,28.763726
-28.471754,28.761805
-28.471392,28.760117
-28.471256,28.759039
-28.471197,28.757915
-28.471236,28.756308
-28.472442,28.733888
-28.47257,28.732526
-28.472819,28.731694
-28.473314,28.730721
-28.474986,28.728591
-28.485062,28.716305
-28.487232,28.713869
-28.488695,28.712712
-28.490877,28.711261
-28.491464,28.710955
-28.492521,28.710827
-28.496597,28.710754
-28.497284,28.710489
-28.498007,28.70981
-28.49824,28.709368
-28.498863,28.707595
-28.49933,28.705968
-28.499378,28.705457
-28.499225,28.704561
-28.499052,28.704143
-28.498707,28.703673
-28.497822,28.702877
-28.497376,28.702077
-28.497111,28.701113
-28.497195,28.699734
-28.497384,28.699171
-28.498546,28.697335
-28.498984,28.696366
-28.500178,28.690462
-28.500574,28.689405
-28.501439,28.688217
-28.504372,28.684568
-28.504762,28.684224
-28.5057,28.683729
-28.50881,28.682389
-28.510918,28.681493
-28.51319,28.680776
-28.515368,28.679483
-28.516487,28.678292
-28.517287,28.677793
-28.518358,28.677609
-28.522643,28.677451
-28.523318,28.677298
-28.523979,28.677031
-28.524665,28.676506
-28.525304,28.675716
-28.526285,28.673389
-28.526531,28.673071
-28.526934,28.672811
-28.527783,28.672707
-28.528199,28.672557
-28.530131,28.67141
-28.530392,28.671154
-28.530498,28.670872
-28.530472,28.670589
-28.530203,28.670183
-28.529794,28.670054
-28.528875,28.670297
-28.528546,28.670067
-28.528409,28.669748
-28.528461,28.669409
-28.528857,28.668425
-28.52909,28.668265
-28.529808,28.66804
-28.529983,28.667843
-28.53005,28.667605
-28.530037,28.666611
-28.530149,28.666305
-28.530356,28.666151
-28.530692,28.666158
-28.53151,28.666908
-28.531808,28.667043
-28.532176,28.666901
-28.532449,28.666471
-28.532194,28.66506
-28.531984,28.664503
-28.529556,28.662427
-28.528621,28.661143
-28.528109,28.659851
-28.527961,28.659145
-28.52793,28.658399
-28.528117,28.656903
-28.529456,28.653351
-28.529696,28.653157
-28.530255,28.653064
-28.530679,28.653079
-28.531342,28.653301
-28.531598,28.653197
-28.532957,28.651469
-28.533025,28.651122
-28.532932,28.650827
-28.532362,28.650423
-28.531192,28.649787
-28.530586,28.649613
-28.529926,28.649771
-28.528766,28.650737
-28.527456,28.650571
-28.527223,28.650489
-28.527063,28.650312
-28.526967,28.650022
-28.526931,28.649333
-28.526743,28.649145
-28.525411,28.649282
-28.524896,28.649134
-28.52436,28.648774
-28.52231,28.646186
-28.521813,28.645401
-28.521482,28.644671
-28.521122,28.643483
-28.520946,28.642492
-28.520767,28.63895
-28.520604,28.638583
-28.520208,28.638246
-28.519794,28.638199
-28.519496,28.638285
-28.517958,28.639419
-28.517065,28.639939
-28.516113,28.640257
-28.515479,28.640345
-28.514757,28.64036
-28.513981,28.640252
-28.510575,28.63959
-28.51027,28.639473
-28.509893,28.639165
-28.509612,28.638549
-28.509482,28.637305
-28.509688,28.635194
-28.509537,28.633552
-28.509706,28.629805
-28.509591,28.628944
-28.509223,28.627589
-28.509168,28.626837
-28.509192,28.625509
-28.509691,28.623987
-28.509688,28.623567
-28.509404,28.623102
-28.508685,28.622526
-28.508534,28.622006
-28.508326,28.620415
-28.507988,28.619274
-28.507677,28.618767
-28.507106,28.61832
-28.505566,28.617858
-28.503604,28.616179
-28.503447,28.615947
-28.503442,28.615312
-28.504238,28.614171
-28.504334,28.613896
-28.504365,28.61341
-28.502598,28.605974
-28.502526,28.604833
-28.502641,28.602417
-28.502209,28.601336
-28.502167,28.600989
-28.502665,28.599223
-28.502638,28.598758
-28.502384,28.59765
-28.502396,28.597161
-28.50313,28.594513
-28.50341,28.592719
-28.504087,28.591116
-28.504182,28.590349
-28.50406,28.589824
-28.503498,28.588664
-28.503349,28.588094
-28.503589,28.585354
-28.503512,28.584602
-28.503362,28.58424
-28.503072,28.583859
-28.501782,28.58275
-28.501569,28.582405
-28.501428,28.581921
-28.501152,28.575915
-28.501392,28.574598
-28.502443,28.571577
-28.502941,28.570685
-28.504734,28.568601
-28.505051,28.568108
-28.505871,28.566047
-28.506282,28.564453
